Produto,Categoria,PrecoCompra,PrecoVenda,QuantidadeEstoque
CABO USB IPHONE,Acessórios,14.0,20.0,50
CABO USB TIPO C,Acessórios,14.0,20.0,50
CAIXA CARREGADOR HMASTON ,Acessórios,17.5,25.0,50
ISQUEIRO ,Acessórios,2.8,4.0,50
TESOURA STYLOS ,Acessórios,5.0,13.0,50
CAIPI ICE 770ML,Caipirinhas,0.01,35.0,50
CAIPIRINHA DE LIMÃO,Caipirinhas,14.0,20.0,50
CAIPIRINHA DE MARACUJA,Caipirinhas,17.5,25.0,50
CAIPIRINHA DE MARACUJA COM PAÇOCA,Caipirinhas,18.2,26.0,50
CAIPIRINHA DE MORANGO,Caipirinhas,17.5,25.0,50
Caipi Beats,Caipirinhas,27.79,39.7,50
Caipi Beats GT,Caipirinhas,27.79,39.7,50
Caipi Corona,Caipirinhas,27.79,39.7,50
Caipi Heineken,Caipirinhas,27.79,39.7,50
Caipi Ice de Kiwi,Caipirinhas,24.99,35.7,50
Caipi Ice de Limão,Caipirinhas,24.99,35.7,50
Caipi Ice de Maracujá,Caipirinhas,24.99,35.7,50
Caipi Ice de Morango,Caipirinhas,24.99,35.7,50
Caipi Ice de Uva,Caipirinhas,24.99,35.7,50
Caipirinha 770ml de Abacaxi,Caipirinhas,17.29,24.7,50
Caipirinha 770ml de Abacaxi e limão,Caipirinhas,22.89,32.7,50
Caipirinha 770ml de GIN  + (,Caipirinhas,7.0,10.0,50
Caipirinha 770ml de JURUPINGA  + (,Caipirinhas,7.0,10.0,50
Caipirinha 770ml de Kiwi,Caipirinhas,20.79,29.7,50
Caipirinha 770ml de Kiwi e Limão,Caipirinhas,24.29,34.7,50
Caipirinha 770ml de Limão,Caipirinhas,17.29,24.7,50
Caipirinha 770ml de Manga e Maracujá,Caipirinhas,24.29,34.7,50
Caipirinha 770ml de Maracujá,Caipirinhas,17.29,24.7,50
Caipirinha 770ml de Maracujá e Limão,Caipirinhas,23.59,33.7,50
Caipirinha 770ml de Morango,Caipirinhas,17.29,24.7,50
Caipirinha 770ml de Morango e Limão,Caipirinhas,22.89,32.7,50
Caipirinha 770ml de Morango e Maracujá,Caipirinhas,23.59,33.7,50
Caipirinha 770ml de SAKÊ + (,Caipirinhas,7.0,10.0,50
Caipirinha 770ml de Uva,Caipirinhas,20.79,29.7,50
Caipirinha 770ml de Uva e limão,Caipirinhas,24.29,34.7,50
Caipirinha 770ml de WHISKY + (,Caipirinhas,7.0,10.0,50
CARVAO,Carvão / Churrasco,2.1,3.0,50
BRAHMA ZERO 350ML,Cervejas,3.49,5.5,50
BUDWEISER 269ML,Cervejas,3.5,5.0,50
BUDWEISER 330ML LONG NECK ,Cervejas,8.4,12.0,50
BUDWEISER 350ML,Cervejas,3.59,6.5,50
CARACU ,Cervejas,5.6,8.0,50
CERVEJA AMSTEL 350ML,Cervejas,3.19,6.0,50
CERVEJA EISENBAHN 350ML,Cervejas,3.69,7.0,50
CERVEJA ORIGINAL 269ML,Cervejas,2.95,5.0,50
CERVEJA PETRA 350ML,Cervejas,3.29,5.0,50
CORONA 330ML LONG NECK ,Cervejas,9.1,13.0,50
EISENBAHN IPA 350ML,Cervejas,5.75,7.7,50
EISENBAHN PALE ALE,Cervejas,5.75,6.5,50
FARDO ITAIPAVA 269ML 12UN,Cervejas,14.95,21.36,50
GALACIA 0% 330ML,Cervejas,4.59,6.0,50
HEINEKEN LONG NECK 330ML,Cervejas,5.35,12.0,50
HEINEKEN ZERO 350ML,Cervejas,5.39,7.0,50
IMPERIO 269,Cervejas,2.8,4.0,50
IMPERIO 350ML,Cervejas,2.55,3.19,50
ITAIPAVA 269ML,Cervejas,1.78,3.5,50
SKOL 269ML,Cervejas,2.75,4.5,50
SKOL 350ML,Cervejas,3.5,5.0,50
SKOL BEATS GT ,Cervejas,4.75,12.0,50
SKOL BEATS RED MIX ,Cervejas,4.75,12.0,50
